Cheie,Valoare RON,Descriere
SETARI PRETURI CONFIGURATOR,,
manop_5kw,5000,Manopera la 5 kW (prag minim - panta 0.490 RON/W incepe aici)
manop_12kw,8430,Manopera la 12 kW (knee - aici se schimba panta la 0.520 RON/W)
manop_25kw,15190,Manopera la 25 kW (limita superioara a pantei 0.520 RON/W)
manop_bat_extra,500,Supliment manopera cand exista baterie (RON)
brans_5kw,1600,Tablouri CA & CC complet echipate la 5 kW
brans_25kw,2500,Tablouri CA & CC complet echipate la 25 kW
bos_5kw,2000,Infrastructura electrica la 5 kW
bos_25kw,3500,Infrastructura electrica la 25 kW
struct_tigla,3500,Structura montaj - tigla ceramica/beton (RON)
struct_tabla,2800,Structura montaj - tabla cutata/Lindab (RON)
struct_terasa,4000,Structura montaj - terasa plata cu balast (RON)
struct_sol,5000,Structura montaj - sol (structura fixa) (RON)
struct_carport,6000,Structura montaj - carport/pergola (RON)
